"","text","chapitre"
"403","Only the eyes of the fighting man ahead of him were visible to Gurney between hood and veil of a sand-colored burnoose, but the crouch and readiness warned him that here was a trained fighting man .","41"
"404","    And Paul: Gurney, man! Gurney, man! .","41"
"405","    I understand it well enough, Gurney said .","41"
"406","He speaks of himself as one of them .","41"
"407","You're the only one left me    to think you dead .","41"
"408","    Where did the men go on the maker? Paul asked  .","41"
"409","Gurney, he said, are there many Guildsmen around Rabban? .","41"
"410","They're buying spice as though it were the most precious thing in the universe .","41"
"411","She felt rested after the long journey up from the south, but still rankled that Paul would not yet permit them to use the captured ornithopters .","42"
"412","    She studied her son, wondering why he had not yet trotted out his surprise -- Gurney Halleck .","42"
"413","    This is a dangerous way to do it, Jessica thought, but she remembered the message cylinder and what it implied .","42"
"414","I am your ruler, and I say to you that it is time we stopped killing off our best men and started killing our real enemies -- the Harkonnens! .","42"
"415","Knowing it, her mind churned .","42"
"416","    Paul's hand slipped to his knife hilt .","42"
"417","    This is a trick, Gurney snarled, and his arm tightened on Jessica's throat .","42"
"418","My father showed it to me the night he explained why it had to be a Harkonnen trick aimed at making him suspect the woman he loved .","42"
"419","    Gurney's arm trembled against her neck .","42"
"420"," There was no special command in the words, no trick to play on his weaknesses, but Gurney's hand fell away .","42"
"421","    A great figure loomed out of the rocks above her, beckoning for speed .","43"
"422","    I signed it thus in the presence of his lieutenants, Jessica said .","43"
"423","The answering grip was painful in its intensity .","43"
"424","    Jessica glared at her .","43"
"425","    A moment for you, three weeks of fear for me, Jessica said .","43"
"426","    Tired, Jessica whispered .","43"
"427","    The strong young arms felt so good to Jessica .","43"
"428","Her mind still rolled and surged from the contact .","43"
"429","Otheym would speak of what he had seen and heard .","43"
"430","Think of that! The finest Guild navigators, men who can quest ahead through time to find the safest course for the fastest Heighliners, all of them seeking me   and unable to find me .","43"
"431","We like it not, your exposing yourself, Muad'Dib .","44"
"432","They know it there, too .","44"
"433","It's what he actually does .","44"
"434","    A great commotion, Muad'Dib, the watcher hissed .","44"
"435","Paul restored the cover, said: Start sending our men down, Stil .","44"
"436","Gurney stayed beside him .","44"
"437","    Paul came to his senses, feeling the sand needles sting his exposed cheeks .","44"
"438","    Another signalman sat there at his equipment  .","44"
"439","Is the way down to the basin still open? Paul asked .","44"
"440","    The message is garbled, Gurney said .","44"
"441","There was that same look of the predatory bird .","45"
"442","They crop up regularly on the fringes of civilization .","45"
"443","Got away! You hear that? .","45"
"444","He leaned forward, put a hand on her head, stared at the Baron .","45"
